PC1,PC2
Dwyane Wade ,-1.1501941349487,6.61284088016262
LeBron James ,-1.19532964671935,5.08466850366561
Kobe Bryant ,0.298111627749254,3.4834806727324
Dirk Nowitzki ,-1.63417666766154,1.85781204688684
Danny Granger ,0.693082178756049,2.02307717339131
Kevin Durant ,-0.312810887138761,2.66241211275303
Kevin Martin ,1.73248535644864,2.71683271665783
Al Jefferson ,-4.93358795720656,-0.269654102796066
Chris Paul ,0.673719669993177,3.36061364925255
Carmelo Anthony ,-0.809319667978699,1.36888073574898
Chris Bosh ,-3.43846808331312,0.623979779178576
Brandon Roy ,0.619670736796148,0.889610083065656
Antawn Jamison ,-1.305168539586,-0.369523778724413
Tony Parker ,0.643873774685831,0.962601281273741
Amare Stoudemire ,-3.0426425050264,-0.17964868050305
Joe Johnson ,2.00071185521897,0.547280344404597
Devin Harris ,1.32067550655362,2.1965082776198
Michael Redd ,2.55778119057578,-0.380190658875124
David West ,-2.20181142358707,-0.697189280420372
Zachary Randolph ,-2.49383482986134,-0.849939376587669
Caron Butler ,0.245493567124508,0.862856572002646
Vince Carter ,1.20645216045112,-0.277295557209637
Stephen Jackson ,1.4595694746606,1.65591986934839
Ben Gordon ,2.28506791985071,-0.41761106736504
Dwight Howard ,-8.44820396961982,-0.415600330520993
Paul Pierce ,0.555286706878157,0.0784110230632133
Al Harrington ,1.05184911718894,-1.18772837002827
Jamal Crawford ,3.38126102219056,-0.247618136944574
Yao Ming ,-3.45705683813997,-1.54617279984527
Richard Jefferson ,0.861083209411439,-1.15978994094435
Jason Terry ,3.36268305944205,-1.27426902693749
Deron Williams ,2.05968053923236,0.958183816083975
Tim Duncan ,-4.59686516603164,-1.39762900040829
Monta Ellis ,0.665245902931687,-0.295802600137248
Rudy Gay ,0.0222948317977278,-1.19974164245335
Pau Gasol ,-3.260910142071,-2.1700165366812
Andre Iguodala ,0.219293085932197,-0.01801716926335
Corey Maggette ,-0.743453977462936,-1.27678888070326
O.J. Mayo ,2.40797241032202,-1.14689748014571
John Salmons ,1.62329055509088,-1.68420492644973
Richard Hamilton ,1.81743251424952,-1.78768150533769
Ray Allen ,3.21657854242792,-2.43182259750665
LaMarcus Aldridge ,-2.00722028530074,-2.46224624911124
Josh Howard ,0.548360059935296,-2.12750206743296
Maurice Williams ,2.96056522056829,-2.24001602338902
Shaquille O'neal ,-5.09190262275306,-2.87936608896487
Rashard Lewis ,2.08538262798983,-2.42309970893312
Chauncey Billups ,3.45794780606804,-0.880491877922659
Allen Iverson ,1.8168890708565,-0.218383608702012
Nate Robinson ,2.27316604302887,-2.03403046604713
